# PMT [32,32] [4,16] 8192 10
# h       rate        error         rate            error
0.02      15.90239    0.0460         1.13171        0.0013
0.05      15.77811    0.0664         1.45964        0.0028
0.1       15.63719    0.0901         2.60280        0.0084
0.2       15.56608    0.0741        10.88798        0.0717
0.3       15.54625    0.0847        15.54624        0.0840
0.4       15.54698    0.0594        15.56744        0.0609
0.5       15.55094    0.0744        15.54216        0.0807
0.6       15.59117    0.0632        15.56819        0.0610
0.7       15.57051    0.0907        15.55801        0.0802
0.8       15.58080    0.0650        15.58610        0.0771
0.9       15.56233    0.0686        15.54125        0.0631
0.95      15.56499    0.0926        15.58738        0.0755
0.98      15.57667    0.0782        15.55819        0.1097

