# PMT [32,32] [4,16] 8192 10
# theta       rate        error         rate            error
0.1           15.58027    0.0864        15.53719        0.0614
0.2           15.57287    0.0869        15.55187        0.0921
0.3           15.57682    0.0747        15.55917        0.0653
0.4           15.57564    0.1143        15.59275        0.0745
0.5           15.56021    0.0788        15.58743        0.0591
0.6           15.54434    0.0578        15.58087        0.0903
0.7           15.54866    0.0671        15.58579        0.0831
0.8           15.58065    0.0433        15.56169        0.0780  
0.9           15.58850    0.0754        14.71574        0.0743
0.95          15.53255    0.0573        11.99665        0.0913
0.98          15.56509    0.0667         1.01807        0.0563
